article_id,pos_word,neg_word,total_word,sentiment
1023021,22,10,703,0.017069701280227598
429671,49,51,1877,-0.0010655301012253596
794081,32,16,1008,0.015873015873015872
1837332,35,23,1021,0.011753183153770812
713761,26,37,1315,-0.008365019011406844
484911,29,41,1648,-0.007281553398058253
1006281,30,33,1896,-0.0015822784810126582
1054691,23,15,1140,0.007017543859649123
998631,29,15,788,0.017766497461928935
1013311,23,30,1315,-0.00532319391634981
1296671,29,37,1072,-0.007462686567164179
1046411,36,27,924,0.00974025974025974
1833142,52,16,1090,0.03302752293577982
1201001,30,25,1160,0.004310344827586207
856401,39,19,1501,0.013324450366422385
884101,36,11,796,0.031407035175879394
1220021,25,18,1128,0.0062056737588652485
1081461,33,35,1873,-0.0010678056593699946
871501,34,22,964,0.012448132780082987
894551,28,31,1125,-0.0026666666666666666
625641,31,29,1177,0.0016992353440951572
299903,7,13,429,-0.013986013986013986
847551,28,21,1036,0.006756756756756757
590861,30,25,1311,0.0038138825324180014
687261,13,9,425,0.009411764705882352
365111,6,2,238,0.01680672268907563
999861,21,14,1066,0.006566604127579738
1736752,28,20,763,0.010484927916120577
1370351,17,16,758,0.0013192612137203166
1686962,22,8,726,0.01928374655647383
493471,37,17,878,0.022779043280182234
967931,33,29,813,0.004920049200492005
1243661,41,28,1216,0.01069078947368421
671441,30,14,694,0.023054755043227664
1038051,17,22,1379,-0.0036258158085569255
1067081,26,9,1083,0.01569713758079409
809451,32,14,926,0.019438444924406047
1724862,31,14,1068,0.015917602996254682
1327331,55,31,1059,0.0226628895184136
1643792,34,26,1053,0.007597340930674264
1067891,35,29,1528,0.003926701570680628
1220731,25,19,788,0.007614213197969543
1786302,14,18,905,-0.004419889502762431
998781,10,36,761,-0.03416557161629435
1017301,26,30,740,-0.005405405405405406
896721,32,16,989,0.016177957532861477
309606,19,14,906,0.005518763796909493
1317151,25,29,1067,-0.0037488284910965324
816081,32,5,736,0.036684782608695655
1298651,26,7,501,0.03792415169660679
810301,38,20,877,0.020524515393386546
308469,26,8,1005,0.01791044776119403
871271,24,20,1115,0.003587443946188341
564931,39,19,1311,0.015255530129672006
979611,34,32,1131,0.0017683465959328027
927111,31,19,1269,0.009456264775413711
320229,11,8,309,0.009708737864077669
1746212,13,5,560,0.014285714285714285
319764,24,28,1444,-0.002770083102493075
817411,63,62,2075,0.00048192771084337347
1679942,15,8,741,0.009446693657219974
1869981,26,19,1191,0.005877413937867338
1028791,26,20,1128,0.005319148936170213
367771,6,2,239,0.016736401673640166
586231,19,20,753,-0.0013280212483399733
844281,48,10,979,0.03881511746680286
429151,17,21,459,-0.008714596949891068
1309761,36,40,926,-0.004319654427645789
488411,14,13,519,0.0019267822736030828
621231,12,18,648,-0.009259259259259259
1044121,51,25,993,0.026183282980866064
308301,26,19,1005,0.006965174129353234
1761542,32,55,1405,-0.016370106761565837
1304041,30,18,1048,0.011450381679389313
668551,29,24,920,0.005434782608695652
576421,29,18,834,0.013189448441247002
1258281,48,45,1381,0.002172338884866039
1334161,28,18,742,0.013477088948787063
1118281,43,33,2028,0.004930966469428008
918031,24,8,1027,0.01557935735150925
1757662,21,15,1038,0.005780346820809248
734161,19,9,578,0.01730103806228374
1907601,36,7,814,0.03562653562653563
750501,42,24,959,0.018769551616266946
731511,37,23,799,0.017521902377972465
312396,28,60,1408,-0.022727272727272728
830911,21,31,1004,-0.0099601593625498
318915,43,40,1507,0.0019907100199071004
834691,30,13,778,0.021850899742930592
1584912,25,19,701,0.008559201141226819
1056111,34,11,1196,0.019230769230769232
1281721,34,24,1199,0.008340283569641367
1098041,38,13,1161,0.02153316106804479
931391,17,16,567,0.001763668430335097
986381,7,9,460,-0.004347826086956522
1067921,40,14,783,0.033205619412515965
493861,45,29,922,0.01735357917570499
769341,30,8,891,0.024691358024691357
634631,39,10,752,0.03856382978723404
1631792,21,10,725,0.015172413793103448
